transaction_id,date,card,account,account_valid_to,client,last_name,first_name,patronymic,date_of_birth,passport,passport_valid_to,phone,oper_type,amount,oper_result,terminal,terminal_type,city,address
3649235840,2020-05-04T00:00:04,50785425162189603667,7456771640,2026-03-06,6-33721,Кадимов,Корнелиус,Ковалько,1993-09-17,2300733597,2027-12-11,+74304126656,Оплата,6734.1,Успешно,POS43792,POS,Нижний Новгород,"Нижний Новгород, ул. Короленковская, д. 5"
3649235841,2020-05-04T00:01:19,57642678631657633216,7456771641,2025-08-15,6-33721,Кадимов,Корнелиус,Ковалько,1993-09-17,2300733597,2021-10-19,+74304126656,Снятие,69108.86,Отказ,POS43792,POS,Заречный,"Заречный, ул. Селянская, д. 57"
3649235842,2020-05-04T00:02:51,50606101490380719590,7456771642,2034-09-08,2-10067,Котков,Валерьян,Байбаков,1946-09-08,3153290165,2006-07-07,+74832003245,Снятие,52699.45,Успешно,POS43792,POS,Донецк,"Донецк, ул. Возрождения, д. 23"
3649235843,2020-05-04T00:04:16,40801177229019601602,7456771643,2033-12-14,7-17459,Сафьянов,Кондрат,Романцов,1965-11-27,3307023178,2031-11-17,+75914405368,Оплата,9705.71,Успешно,POS28311,POS,Красноуфимск,"Красноуфимск, ул. Старошишковская, д. 77"
3649235844,2020-05-04T00:05:56,57447203234952512132,7456771644,2025-06-20,2-68359,Карельский,Алишер,Шавкунин,1984-09-12,6750185314,2030-01-09,+74862414292,Пополнение,82576.5,Отказ,POS75616,POS,Черкесск,"Черкесск, ул. Гинтовта, д. 56"
3649235845,2020-05-04T00:07:16,40546562912991624278,7456771645,2021-11-22,2-68359,Карельский,Алишер,Шавкунин,1984-09-12,6750185314,2025-12-27,+74862414292,Оплата,85060.28,Успешно,POS75616,POS,Черкесск,"Черкесск, ул. Гинтовта, д. 56"
3649235846,2020-05-04T00:08:38,54512637707858487085,7456771646,2026-12-06,2-68359,Карельский,Алишер,Шавкунин,1984-09-12,6750185314,2022-03-06,+74862414292,Снятие,26297.62,Отказ,POS75616,POS,Черкесск,"Черкесск, ул. Гинтовта, д. 56"
3649235847,2020-05-04T00:10:09,42547816614271565573,7456771647,2029-07-05,2-68359,Карельский,Алишер,Шавкунин,1984-09-12,6750185314,2021-12-02,+74862414292,Оплата,9959.18,Отказ,POS75616,POS,Черкесск,"Черкесск, ул. Гинтовта, д. 56"
3649235848,2020-05-04T00:11:38,51529500095620747066,7456771648,2035-01-08,2-68359,Карельский,Алишер,Шавкунин,1984-09-12,6750185314,2028-11-02,+74862414292,Пополнение,49795.23,Отказ,POS75616,POS,Черкесск,"Черкесск, ул. Гинтовта, д. 56"
3649235849,2020-05-04T00:13:19,59362300667783328631,7456771649,2024-01-14,2-68359,Карельский,Алишер,Шавкунин,1984-09-12,6750185314,2027-08-02,+74862414292,Снятие,33453.4,Отказ,POS75616,POS,Черкесск,"Черкесск, ул. Гинтовта, д. 56"
